"","datetime","q_cms_wb","NO3","TP","NO3_source","TP_source","DOC"
"1",2022-10-01 00:00:00,0.308683031,0.063272207,0.002287995,"sensor","sensor",2.952037
"2",2022-10-01 00:15:00,0.302569419,0.059838482,0.005913754,"sensor","sensor",2.914183
"3",2022-10-01 00:30:00,0.29656789,0.061704652,0.00466364,"sensor","sensor",2.951694
"4",2022-10-01 00:45:00,0.314910643,0.062997573,0.005534621,"sensor","sensor",2.950983
"5",2022-10-01 01:00:00,0.308683031,0.058536914,0.005943563,"sensor","sensor",2.931668
"6",2022-10-01 01:15:00,0.302569419,0.057797061,0.005066583,"sensor","sensor",2.924677
"7",2022-10-01 01:30:00,0.302569419,0.060756982,0.004846276,"sensor","sensor",2.898157
"8",2022-10-01 01:45:00,0.302569419,0.05640283,0.0078471,"sensor","sensor",2.920094
"9",2022-10-01 02:00:00,0.314910643,0.068718392,0.006860897,"sensor","sensor",2.913377
"10",2022-10-01 02:15:00,0.302569419,0.056186098,0.009429895,"sensor","sensor",2.896936
"11",2022-10-01 02:30:00,0.29656789,0.061442091,0.007379482,"sensor","sensor",2.893901
"12",2022-10-01 02:45:00,0.308683031,0.062834653,0.007110556,"sensor","sensor",NA
"13",2022-10-01 03:00:00,0.29656789,0.058885525,0.004027381,"sensor","sensor",2.887018
"14",2022-10-01 03:15:00,0.308683031,0.065573709,0.0103306,"sensor","sensor",2.9097
"15",2022-10-01 03:30:00,0.308683031,0.066703654,0.004534517,"sensor","sensor",2.88154
"16",2022-10-01 03:45:00,0.314910643,0.06277235,9e-04,"sensor","sensor",2.872989
"17",2022-10-01 04:00:00,NA,0.061656979,0.00814185,"sensor","sensor",2.8902
"18",2022-10-01 04:15:00,0.308683031,0.059713827,0.005761278,"sensor","sensor",2.87161
"19",2022-10-01 04:30:00,0.314910643,0.064237508,0.004345851,"sensor","sensor",2.850229
"20",2022-10-01 04:45:00,0.321254206,0.06874834,9e-04,"sensor","sensor",2.862222
"21",2022-10-01 05:00:00,0.308683031,0.067583024,0.004646903,"sensor","sensor",2.852387
