"","datetime","q_cms_hb","NO3","TP","NO3_source","TP_source","DOC"
"1",2022-10-01 00:00:00,0.811847595,3.608060144,0.000235,"sensor","sensor",8.688507
"2",2022-10-01 00:15:00,0.806358702,3.614209508,0.000235,"sensor","sensor",8.729539
"3",2022-10-01 00:30:00,0.817357532,3.632508372,0.000235,"sensor","sensor",8.694939
"4",2022-10-01 00:45:00,0.828440615,3.620983158,0.000235,"sensor","sensor",8.756343
"5",2022-10-01 01:00:00,0.817357532,3.634577653,0.000235,"sensor","sensor",8.668126
"6",2022-10-01 01:15:00,0.806358702,3.646347375,0.000235,"sensor","sensor",8.661156
"7",2022-10-01 01:30:00,0.822888533,3.638310268,0.000235,"sensor","sensor",8.712166
"8",2022-10-01 01:45:00,0.817357532,3.658351654,0.000235,"sensor","sensor",8.625518
"9",2022-10-01 02:00:00,0.811847595,3.652909974,0.000235,"sensor","sensor",8.720575
"10",2022-10-01 02:15:00,0.806358702,3.658752683,0.000235,"sensor","sensor",8.659909
"11",2022-10-01 02:30:00,0.817357532,3.660239072,0.000235,"sensor","sensor",8.639335
"12",2022-10-01 02:45:00,0.811847595,3.665378583,0.000235,"sensor","sensor",8.613133
"13",2022-10-01 03:00:00,0.806358702,3.672001296,0.000235,"sensor","sensor",8.608057
"14",2022-10-01 03:15:00,0.800890835,3.686817201,0.000235,"sensor","sensor",8.571694
"15",2022-10-01 03:30:00,0.795443976,3.703873688,0.000235,"sensor","sensor",8.59071
"16",2022-10-01 03:45:00,0.811847595,3.697124395,0.000235,"sensor","sensor",8.566319
"17",2022-10-01 04:00:00,NA,3.704771149,0.000235,"sensor","sensor",8.539839
"18",2022-10-01 04:15:00,0.795443976,3.702195755,0.000235,"sensor","sensor",8.565195
"19",2022-10-01 04:30:00,0.795443976,3.713793363,0.000235,"sensor","sensor",8.455798
"20",2022-10-01 04:45:00,0.795443976,3.714197488,0.000235,"sensor","sensor",8.497586
"21",2022-10-01 05:00:00,0.784613205,3.715688149,0.000235,"sensor","sensor",8.530455
"22",2022-10-01 05:15:00,0.800890835,3.724712419,0.000235,"sensor","sensor",8.466621
"23",2022-10-01 05:30:00,0.806358702,3.739932903,0.000235,"sensor","sensor",8.482708
"24",2022-10-01 05:45:00,0.795443976,3.740311345,0.000235,"sensor","sensor",8.494676
"25",2022-10-01 06:00:00,0.806358702,3.749269541,0.000235,"sensor","sensor",8.489537
"26",2022-10-01 06:15:00,0.779229257,3.753076654,0.000235,"sensor","sensor",8.458996
"27",2022-10-01 06:30:00,0.790018105,3.750965494,0.000235,"sensor","sensor",8.473886
"28",2022-10-01 06:45:00,0.784613205,3.765129949,0.000235,"sensor","sensor",8.456606
"29",2022-10-01 07:00:00,0.784613205,3.771239373,0.000235,"sensor","sensor",8.442883
"30",2022-10-01 07:15:00,0.790018105,3.782346696,0.000235,"sensor","sensor",8.457507
"31",2022-10-01 07:30:00,0.784613205,3.774636253,0.000235,"sensor","sensor",8.393768
"32",2022-10-01 07:45:00,0.790018105,3.780430235,0.000235,"sensor","sensor",8.394124
"33",2022-10-01 08:00:00,0.795443976,3.782713262,0.000235,"sensor","sensor",8.454547
"34",2022-10-01 08:15:00,0.790018105,3.786376694,0.000235,"sensor","sensor",8.407866
"35",2022-10-01 08:30:00,0.790018105,3.794686868,0.000235,"sensor","sensor",8.4231
"36",2022-10-01 08:45:00,0.795443976,3.797074644,0.000235,"sensor","sensor",8.412491
"37",2022-10-01 09:00:00,0.790018105,3.790577734,0.000235,"sensor","sensor",5.706035
"38",2022-10-01 09:15:00,0.790018105,3.794963408,0.000235,"sensor","sensor",8.349995
"39",2022-10-01 09:30:00,0.784613205,3.8031959,0.000235,"sensor","sensor",8.295443
"40",2022-10-01 09:45:00,0.779229257,3.810699678,0.000235,"sensor","sensor",8.32481
"41",2022-10-01 10:00:00,0.779229257,3.815133307,0.000235,"sensor","sensor",8.268301
"42",2022-10-01 10:15:00,0.779229257,3.82435186,0.000235,"sensor","sensor",8.327015
"43",2022-10-01 10:30:00,0.784613205,3.821848315,0.000235,"sensor","sensor",8.30788
"44",2022-10-01 10:45:00,0.779229257,3.831038874,0.000235,"sensor","sensor",8.243784
"45",2022-10-01 11:00:00,0.773866241,3.82438224,0.000235,"sensor","sensor",8.264152
"46",2022-10-01 11:15:00,0.773866241,3.828476287,0.000235,"sensor","sensor",8.262859
"47",2022-10-01 11:30:00,0.763202934,3.834251686,0.000235,"sensor","sensor",8.258558
"48",2022-10-01 11:45:00,0.784613205,3.835141401,0.000235,"sensor","sensor",8.263424
"49",2022-10-01 12:00:00,0.773866241,3.842352967,0.000235,"sensor","sensor",8.252352
"50",2022-10-01 12:15:00,0.76852414,3.840327406,0.000235,"sensor","sensor",8.227073
"51",2022-10-01 12:30:00,0.76852414,3.83920145,0.000235,"sensor","sensor",8.17417
"52",2022-10-01 12:45:00,0.763202934,3.85303313,0.000235,"sensor","sensor",8.148916
"53",2022-10-01 13:00:00,0.784613205,3.67269514,0.000235,"sensor","sensor",8.173594
"54",2022-10-01 13:15:00,0.763202934,3.858336813,0.000235,"sensor","sensor",8.185442
"55",2022-10-01 13:30:00,0.76852414,3.847123313,0.000235,"sensor","sensor",8.150708
"56",2022-10-01 13:45:00,0.763202934,3.860524608,0.000235,"sensor","sensor",8.134869
"57",2022-10-01 14:00:00,0.763202934,3.85590061,0.000235,"sensor","sensor",8.150331
"58",2022-10-01 14:15:00,0.763202934,3.864440709,0.000235,"sensor","sensor",8.120417
"59",2022-10-01 14:30:00,0.773866241,3.858687253,0.000235,"sensor","sensor",8.10737
"60",2022-10-01 14:45:00,0.76852414,3.858921137,0.000235,"sensor","sensor",8.105338
"61",2022-10-01 15:00:00,0.757902604,3.85998651,0.000235,"sensor","sensor",8.112246
"62",2022-10-01 15:15:00,0.763202934,3.863190655,0.000235,"sensor","sensor",8.090962
"63",2022-10-01 15:30:00,0.763202934,3.869535963,0.000235,"sensor","sensor",8.054169
"64",2022-10-01 15:45:00,0.763202934,3.864149041,0.000235,"sensor","sensor",8.03931
"65",2022-10-01 16:00:00,0.757902604,3.868209361,0.000235,"sensor","sensor",8.042225
"66",2022-10-01 16:15:00,0.773866241,3.869557028,0.000235,"sensor","sensor",8.038643
"67",2022-10-01 16:30:00,0.763202934,3.861914927,0.000235,"sensor","sensor",7.985672
"68",2022-10-01 16:45:00,0.76852414,3.874502697,0.000235,"sensor","sensor",7.994076
"69",2022-10-01 17:00:00,0.763202934,3.867293857,0.000235,"sensor","sensor",7.961932
"70",2022-10-01 17:15:00,0.752623132,3.859493978,0.000235,"sensor","sensor",8.016525
"71",2022-10-01 17:30:00,0.763202934,3.86468599,0.000235,"sensor","sensor",7.962027
"72",2022-10-01 17:45:00,0.773866241,3.865057949,0.000235,"sensor","sensor",7.920364
"73",2022-10-01 18:00:00,0.76852414,3.863579578,0.000235,"sensor","sensor",7.968649
"74",2022-10-01 18:15:00,0.76852414,3.867835435,0.000235,"sensor","sensor",7.987134
"75",2022-10-01 18:30:00,0.752623132,3.863236795,0.000235,"sensor","sensor",7.959989
"76",2022-10-01 18:45:00,0.76852414,3.862606047,0.000235,"sensor","sensor",7.876322
"77",2022-10-01 19:00:00,0.757902604,3.863893545,0.000235,"sensor","sensor",7.931227
"78",2022-10-01 19:15:00,0.752623132,3.856966813,0.000235,"sensor","sensor",7.924833
"79",2022-10-01 19:30:00,0.763202934,3.867620999,0.000235,"sensor","sensor",7.872239
"80",2022-10-01 19:45:00,0.763202934,3.8599214,0.000235,"sensor","sensor",7.919404
"81",2022-10-01 20:00:00,0.747364498,3.858343289,0.000235,"sensor","sensor",7.872172
"82",2022-10-01 20:15:00,0.76852414,3.876711528,0.000235,"sensor","sensor",7.836243
"83",2022-10-01 20:30:00,0.763202934,3.86756672,0.000235,"sensor","sensor",7.830922
"84",2022-10-01 20:45:00,0.763202934,3.871919184,0.000235,"sensor","sensor",7.857517
"85",2022-10-01 21:00:00,0.763202934,3.874344948,0.000235,"sensor","sensor",7.827087
"86",2022-10-01 21:15:00,0.752623132,3.88418832,0.000235,"sensor","sensor",7.822265
"87",2022-10-01 21:30:00,0.752623132,3.876560495,0.000235,"sensor","sensor",7.797163
"88",2022-10-01 21:45:00,0.757902604,3.883032893,0.000235,"sensor","sensor",7.814617
"89",2022-10-01 22:00:00,0.752623132,3.880988451,0.000235,"sensor","sensor",7.810818
"90",2022-10-01 22:15:00,0.752623132,3.876416466,0.000235,"sensor","sensor",7.780717
"91",2022-10-01 22:30:00,0.757902604,3.885082614,0.000235,"sensor","sensor",7.788811
"92",2022-10-01 22:45:00,0.752623132,3.882444284,0.000235,"sensor","sensor",7.796969
"93",2022-10-01 23:00:00,0.752623132,3.883261702,0.000235,"sensor","sensor",7.778006
"94",2022-10-01 23:15:00,0.747364498,3.881379074,0.000235,"sensor","sensor",7.749143
"95",2022-10-01 23:30:00,0.752623132,3.881145808,0.000235,"sensor","sensor",7.758603
"96",2022-10-01 23:45:00,0.747364498,3.886051838,0.000235,"sensor","sensor",7.733014
"97",2022-10-02 00:00:00,0.742126684,3.905324668,0.000235,"sensor","sensor",7.722443
"98",2022-10-02 00:15:00,0.742126684,3.895781805,0.000235,"sensor","sensor",7.699745
"99",2022-10-02 00:30:00,0.752623132,3.895886691,0.000235,"sensor","sensor",7.701167
"100",2022-10-02 00:45:00,0.747364498,3.893444887,0.000235,"sensor","sensor",7.69523
"101",2022-10-02 01:00:00,0.742126684,3.889282099,0.000235,"sensor","sensor",7.668984
"102",2022-10-02 01:15:00,0.742126684,3.896549759,0.000235,"sensor","sensor",7.701037
"103",2022-10-02 01:30:00,0.736909671,3.891518849,0.000235,"sensor","sensor",7.677458
"104",2022-10-02 01:45:00,0.726537971,3.889911521,0.000235,"sensor","sensor",7.689441
"105",2022-10-02 02:00:00,0.736909671,3.905851097,0.000235,"sensor","sensor",7.704996
"106",2022-10-02 02:15:00,0.73171344,3.88751118,0.000235,"sensor","sensor",7.669136
"107",2022-10-02 02:30:00,0.747364498,3.897072879,0.000235,"sensor","sensor",7.671972
"108",2022-10-02 02:45:00,0.736909671,3.90644656,0.000235,"sensor","sensor",7.643535
"109",2022-10-02 03:00:00,0.742126684,3.905390684,0.000235,"sensor","sensor",7.653988
"110",2022-10-02 03:15:00,0.726537971,3.904500239,0.000235,"sensor","sensor",7.586945
"111",2022-10-02 03:30:00,0.742126684,3.90292468,0.000235,"sensor","sensor",7.560878
"112",2022-10-02 03:45:00,0.742126684,3.909313609,0.000235,"sensor","sensor",7.635692
"113",2022-10-02 04:00:00,NA,3.907298414,0.000235,"sensor","sensor",7.576972
"114",2022-10-02 04:15:00,0.736909671,3.90068498,0.000235,"sensor","sensor",7.550502
"115",2022-10-02 04:30:00,0.73171344,3.916728031,0.000235,"sensor","sensor",7.577559
"116",2022-10-02 04:45:00,0.73171344,3.908512393,0.000235,"sensor","sensor",7.56805
"117",2022-10-02 05:00:00,0.73171344,3.906186612,0.000235,"sensor","sensor",7.55205
"118",2022-10-02 05:15:00,0.73171344,3.909642824,0.000235,"sensor","sensor",7.56704
"119",2022-10-02 05:30:00,0.73171344,3.911079803,0.000235,"sensor","sensor",7.542546
"120",2022-10-02 05:45:00,0.721383246,3.918028525,0.000235,"sensor","sensor",7.586134
"121",2022-10-02 06:00:00,0.721383246,3.9163652,0.000235,"sensor","sensor",7.545345
"122",2022-10-02 06:15:00,0.726537971,3.927622838,0.000235,"sensor","sensor",7.516906
"123",2022-10-02 06:30:00,0.716249244,3.914249442,0.000235,"sensor","sensor",7.514459
"124",2022-10-02 06:45:00,0.716249244,3.917993132,0.000235,"sensor","sensor",7.481346
"125",2022-10-02 07:00:00,0.721383246,3.907867172,0.000235,"sensor","sensor",7.496484
"126",2022-10-02 07:15:00,0.706043338,3.914775996,0.000235,"sensor","sensor",7.491757
"127",2022-10-02 07:30:00,0.721383246,3.914008719,0.000235,"sensor","sensor",7.478644
"128",2022-10-02 07:45:00,0.721383246,3.916521455,0.000235,"sensor","sensor",7.497975
"129",2022-10-02 08:00:00,0.716249244,3.924450042,0.000235,"sensor","sensor",7.462553
"130",2022-10-02 08:15:00,0.711135948,3.92481545,0.000235,"sensor","sensor",7.455652
"131",2022-10-02 08:30:00,0.706043338,3.915643393,0.000235,"sensor","sensor",7.450924
"132",2022-10-02 08:45:00,0.711135948,3.927587666,0.000235,"sensor","sensor",7.469806
"133",2022-10-02 09:00:00,0.711135948,3.926959195,0.000235,"sensor","sensor",7.41004
"134",2022-10-02 09:15:00,0.706043338,3.932567174,0.000235,"sensor","sensor",7.428309
"135",2022-10-02 09:30:00,0.700971394,3.917402379,0.000235,"sensor","sensor",7.445059
"136",2022-10-02 09:45:00,0.711135948,3.930168703,0.000235,"sensor","sensor",7.447159
"137",2022-10-02 10:00:00,0.700971394,3.932366568,0.000235,"sensor","sensor",7.400163
"138",2022-10-02 10:15:00,0.706043338,3.930986324,0.000235,"sensor","sensor",7.465613
"139",2022-10-02 10:30:00,0.700971394,3.925681897,0.000235,"sensor","sensor",7.399245
"140",2022-10-02 10:45:00,0.700971394,3.925533075,0.000235,"sensor","sensor",7.469094
"141",2022-10-02 11:00:00,0.706043338,3.931098266,0.000235,"sensor","sensor",7.433223
"142",2022-10-02 11:15:00,0.690889429,3.938927487,0.000235,"sensor","sensor",7.442395
"143",2022-10-02 11:30:00,0.706043338,3.938257522,0.000235,"sensor","sensor",7.400217
"144",2022-10-02 11:45:00,0.706043338,3.934705263,0.000235,"sensor","sensor",7.421072
"145",2022-10-02 12:00:00,0.706043338,3.936861522,0.000235,"sensor","sensor",7.423388
"146",2022-10-02 12:15:00,0.706043338,3.917201497,0.000235,"sensor","sensor",7.408998
"147",2022-10-02 12:30:00,0.695920098,3.939054039,0.000235,"sensor","sensor",7.395758
"148",2022-10-02 12:45:00,0.700971394,3.922319436,0.000235,"sensor","sensor",7.377709
"149",2022-10-02 13:00:00,0.685879369,3.932860642,0.000235,"sensor","sensor",7.357129
"150",2022-10-02 13:15:00,0.690889429,3.923484918,0.000235,"sensor","sensor",7.395875
"151",2022-10-02 13:30:00,0.690889429,3.932207904,0.000235,"sensor","sensor",7.386706
"152",2022-10-02 13:45:00,0.700971394,3.929075233,0.000235,"sensor","sensor",7.411624
"153",2022-10-02 14:00:00,0.695920098,3.926353551,0.000235,"sensor","sensor",7.38001
"154",2022-10-02 14:15:00,0.685879369,3.93488609,0.000235,"sensor","sensor",7.328337
"155",2022-10-02 14:30:00,0.700971394,3.930845554,0.000235,"sensor","sensor",7.377696
"156",2022-10-02 14:45:00,0.685879369,3.93221631,0.000235,"sensor","sensor",7.414667
"157",2022-10-02 15:00:00,0.695920098,3.940472268,0.000235,"sensor","sensor",7.383003
"158",2022-10-02 15:15:00,0.700971394,3.929055686,0.000235,"sensor","sensor",7.366732
"159",2022-10-02 15:30:00,0.706043338,3.939341073,0.000235,"sensor","sensor",7.348023
"160",2022-10-02 15:45:00,0.690889429,3.935647093,0.000235,"sensor","sensor",7.293356
"161",2022-10-02 16:00:00,0.690889429,3.941897272,0.000235,"sensor","sensor",7.361354
"162",2022-10-02 16:15:00,0.695920098,3.926205972,0.000235,"sensor","sensor",7.358239
"163",2022-10-02 16:30:00,0.685879369,3.935544375,0.000235,"sensor","sensor",7.286684
"164",2022-10-02 16:45:00,0.680889898,3.951659131,0.000235,"sensor","sensor",7.297487
"165",2022-10-02 17:00:00,0.690889429,3.936203563,0.000235,"sensor","sensor",7.330642
"166",2022-10-02 17:15:00,0.690889429,3.955786207,0.000235,"sensor","sensor",7.273456
"167",2022-10-02 17:30:00,0.690889429,3.944937551,0.000235,"sensor","sensor",7.289339
"168",2022-10-02 17:45:00,0.695920098,3.951382414,0.000235,"sensor","sensor",7.308464
"169",2022-10-02 18:00:00,0.690889429,3.946359361,0.000235,"sensor","sensor",7.312965
"170",2022-10-02 18:15:00,0.690889429,3.933141292,0.000235,"sensor","sensor",7.298994
"171",2022-10-02 18:30:00,0.706043338,3.948871989,0.000235,"sensor","sensor",7.261934
"172",2022-10-02 18:45:00,0.695920098,3.953842603,0.000235,"sensor","sensor",7.289194
"173",2022-10-02 19:00:00,0.690889429,3.947502555,0.000235,"sensor","sensor",7.294544
"174",2022-10-02 19:15:00,0.695920098,3.943945129,0.000235,"sensor","sensor",7.263925
"175",2022-10-02 19:30:00,0.695920098,3.941395248,0.000235,"sensor","sensor",7.270159
"176",2022-10-02 19:45:00,0.690889429,3.946040245,0.000235,"sensor","sensor",7.293866
"177",2022-10-02 20:00:00,0.680889898,3.938348101,0.000235,"sensor","sensor",7.163619
